pregunta,respuesta
    "Hola", "¡Hola! Soy EcoBot, tu asistente financiero de EcoSmart. ¿Cómo puedo ayudarte hoy?",
    "Hola", "¡Hola! ¿Qué tal? ¿Necesitas consejos sobre tus finanzas?",
    "Buenos días", "¡Buenos días! ¿Listo para revisar tus finanzas?",
    "Buenas tardes", "¡Buenas tardes! ¿En qué puedo asistirte con tu plan financiero?",
    "Buenas noches", "¡Buenas noches! ¿Quieres un resumen de tu día financiero?",
    "Adiós", "¡Hasta luego! No olvides registrar tus transacciones.",
    "Chao", "¡Chao! Recuerda ahorrar para el futuro.",
    "Gracias", "¡De nada! Estoy aquí para ayudarte con tus finanzas.",
    "Gracias por tu ayuda", "¡Es un placer! ¿Algo más en lo que pueda asistirte?",
    "¿Cómo estás?", "¡Estoy bien, gracias! ¿Y tú?",
    "¿Qué tal?", "¡Todo bien! ¿Qué hay de ti?",
    "Bien y tú?", "¡Excelente! ¿En qué puedo ayudarte hoy?",
    "Bien, gracias", "¡Me alegra! ¿Necesitas ayuda con tus finanzas?",
    "todo bien", "¡Genial! ¿Quieres revisar tu plan financiero?",
    "Todo bien", "¡Me alegro! ¿En qué puedo ayudarte?",
    "¿Qué es EcoSmart?", "EcoSmart es una plataforma integral para gestionar finanzas personales, con planes, objetivos y seguimiento de gastos.",
    "¿Qué hace EcoSmart?", "EcoSmart te permite crear planes financieros, registrar ingresos y gastos, establecer objetivos y gestionar tareas.",
    "¿Cómo funciona EcoSmart?", "Registra tus datos financieros, crea planes personalizados y recibe consejos basados en tu información.",

    "¿Cómo ahorro dinero?", "Registra todos tus gastos, identifica áreas de mejora, establece un presupuesto y ahorra automáticamente.",
    "¿Cómo ahorrar más?", "Corta suscripciones innecesarias, cocina en casa, busca ingresos extra y establece metas de ahorro.",
    "¿Cuánto debo ahorrar?", "Recomiendo el 20% de tus ingresos para ahorro, más 3-6 meses de gastos para emergencias.",
    "¿Cómo empezar a ahorrar?", "Comienza con pequeños cambios: registra gastos diarios, establece un presupuesto y ahorra $10 al día.",

    "¿Qué es un presupuesto?", "Un presupuesto es un plan financiero que asigna tus ingresos a gastos, ahorro e inversiones.",
    "¿Cómo hacer un presupuesto?", "1. Calcula ingresos totales. 2. Lista gastos fijos. 3. Asigna porcentajes: 50% necesidades, 30% deseos, 20% ahorro.",
    "¿Cómo mantener un presupuesto?", "Revisa semanalmente, ajusta según cambios y usa apps como EcoSmart para seguimiento.",

